test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,Tau_th,Premium_th,Delta_th,option_return,M_floor,Return_t,Cluster
2020-03-27,1,8000,6650.42431082331,109.283098982424,14,1.20296168242677,0.955724444010178,0.943531637372803,3e-4,0,1437821.736,216.2,7293.69,0,3.62211356466877,0,-1,1.2,0.18478658480344573,1
2020-03-27,1,8500,6623.88794019933,59.8515282392027,14,1.28335085624838,0.960025491026419,0.972234551495016,3e-4,0,398758.054,60.2,7293.69,0,3.63,0,-1,1.28,0.24947451375788202,1
2020-04-24,1,8500,7545.58515669516,107.473753561254,14,1.12649095484863,0.890268210289148,0.678498646723647,0.0012,0,2118800.312,280.8,10002.48,0,1410.97064516129,1,12.979971390351324,1.12,0.11910745142927973,0
2020-04-24,1,8750,7551.42410172272,74.45697292863,14,1.15873763128746,0.891338329054638,0.687460049220673,0.0012,0,1841037.196,243.8,10002.48,0,1142.84977941177,1,15.821527262470797,1.15,0.14733116365537904,0
2020-04-24,1,9000,7509.45618238022,61.9671406491499,14,1.19851945956678,0.909043906672758,0.74555085007728,0.0012,0,971723.63,129.4,10002.48,0,901.107164750959,1,15.177606219978978,1.19,0.18108701136189162,0
2020-04-24,1,9250,7553.59295238095,50.1733333333333,14,1.2245833807148,0.912997762416952,0.761766666666667,0.0012,0,634501.808,84,10002.48,0,640.454306784661,1,13.997608291256979,1.22,0.2026006887747885,0
2020-04-24,1,9500,7531.66488372093,33.7186046511628,14,1.26135689708768,0.914451773415692,0.77253488372093,0.0012,0,64772.318,8.6,10002.48,0,385.888907922912,1,13.902158769570297,1.26,0.2321880439704478,0
2020-05-15,1,8000,9416.016,1675.376,14,0.84981140804695,0.982981293379395,1.12688,0.0012,0,47080.08,5,9569.21,0,1531.17,1,-0.06336846176619508,0.84,-0.16274082700114623,1
2020-05-15,1,9000,9469.70030548068,894.933396226415,14,0.950501583667576,0.951274267822064,0.876243126684636,0.0012,0,2107955.288,222.6,9569.21,0,515.187435897436,1,-0.3639638408845444,0.95,-0.05076545091345681,1
2020-05-15,1,9500,9484.93844343891,616.606941176471,14,1.00168488563293,0.94157128804747,0.837747239819004,0.0012,0,2096171.396,221,9569.21,0,72.4843726937269,0.996309963099631,-0.8877566965627274,1,0.0016834678054931825,1
