test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,Value_th,Option_type,num_ops,R_t,M_group,steps_ahead,RF_t,ER_t
2020-08-29,-1,6000,11518.89,17.28,27,0.520883522631087,-0.999110084001079,1.1593,0.001,0,1151.889,0.1,10732.43,0,-1,0.52,-0.47911647736891305,1,-17.28,Put,2,-1,"(-0.5,-0.1]",27,7.397533878017448e-5,-1.0000739753387802
2022-02-26,-1,22000,38791.24,77.58,27,0.567138353917018,-0.998029233569437,1.0639,0.0033,0,38791.24,1,44004.47,0,-1,0.56,-0.43286164608298205,1,-77.58,Put,2,-1,"(-0.5,-0.1]",27,2.4413938621137277e-4,-1.0002441393862114
2022-02-26,-1,22000,38791.24,77.58,27,0.567138353917018,-0.998029233569437,1.0639,0.0033,0,96978.1,2.5,44004.47,0,-1,0.56,-0.43286164608298205,1,-77.58,Put,2,-1,"(-0.5,-0.1]",27,2.4413938621137277e-4,-1.0002441393862114
2020-05-30,-1,2500,9557,4.78,27,0.261588364549545,-0.999999929049623,1.9739,0.0014,0,9557,1,9240.85,0,-1,0.26,-0.7384116354504551,1,-4.78,Put,2,-1,"(-1,-0.5]",27,1.035670065276939e-4,-1.0001035670065277
2020-05-30,-1,2500,9557,4.78,27,0.261588364549545,-0.999999929049623,1.9739,0.0014,0,9557,1,9240.85,0,-1,0.26,-0.7384116354504551,1,-4.78,Put,2,-1,"(-1,-0.5]",27,1.035670065276939e-4,-1.0001035670065277
2020-05-30,-1,4000,9690.96,14.54,27,0.412755805410403,-0.999982331604284,1.5478,0.0014,0,1938.192,0.2,9240.85,0,-1,0.41,-0.587244194589597,1,-14.54,Put,2,-1,"(-1,-0.5]",27,1.035670065276939e-4,-1.0001035670065277
2020-05-30,-1,4000,9690.96,14.54,27,0.412755805410403,-0.999982331604284,1.5478,0.0014,0,1938.192,0.2,9240.85,0,-1,0.41,-0.587244194589597,1,-14.54,Put,2,-1,"(-1,-0.5]",27,1.035670065276939e-4,-1.0001035670065277
2020-05-30,-1,4500,9538.03,9.54,27,0.471795538491701,-0.999634027486922,1.2533,0.0014,0,2861.409,0.3,9240.85,0,-1,0.47,-0.528204461508299,1,-9.54,Put,2,-1,"(-1,-0.5]",27,1.035670065276939e-4,-1.0001035670065277
2020-05-30,-1,4500,9538.03,9.54,27,0.471795538491701,-0.999634027486922,1.2533,0.0014,0,2861.409,0.3,9240.85,0,-1,0.47,-0.528204461508299,1,-9.54,Put,2,-1,"(-1,-0.5]",27,1.035670065276939e-4,-1.0001035670065277
2021-02-27,-1,20000,46862.61,93.73,27,0.426779473016974,-0.999984061710925,1.5601,4e-4,0,1874504.4,40,51415.92,0,-1,0.42,-0.573220526983026,0,-93.73,Put,2,-1,"(-1,-0.5]",27,2.958947885578489e-5,-1.0000295894788558
2021-02-27,-1,20000,46987.22,140.96,27,0.425647654830399,-0.99999584909263,1.6774,4e-4,0,23493.61,0.5,51415.92,0,-1,0.42,-0.574352345169601,0,-140.96,Put,2,-1,"(-1,-0.5]",27,2.958947885578489e-5,-1.0000295894788558
2022-02-26,-1,16000,39251.31,39.25,27,0.407629707135889,-0.999960608366023,1.4699,0.0033,0,129529.323,3.3,44004.47,0,-1,0.4,-0.592370292864111,1,-39.25,Put,2,-1,"(-1,-0.5]",27,2.4413938621137277e-4,-1.0002441393862114
2022-02-26,-1,16000,39251.31,39.25,27,0.407629707135889,-0.999960608366023,1.4699,0.0033,0,3925.131,0.1,44004.47,0,-1,0.4,-0.592370292864111,1,-39.25,Put,2,-1,"(-1,-0.5]",27,2.4413938621137277e-4,-1.0002441393862114
