test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,1,5500,6084.83,946.19,27,0.903887208023889,0.694152971959026,0.9998,3e-4,0,3042.415,0.5,7477.6,1977.6000000000004,1.0900664771346138,0.9,-0.096112791976111,0,"(-0.1,0.15]",27,1.0900664771346138,3.606525032791019e-4,1.0897058246313347
2020-03-28,1,5500,6084.83,946.19,27,0.903887208023889,0.694152971959026,0.9998,3e-4,0,3042.415,0.5,7477.6,1977.6000000000004,1.0900664771346138,0.9,-0.096112791976111,0,"(-0.1,0.15]",27,1.0900664771346138,3.606525032791019e-4,1.0897058246313347
2020-03-28,1,6000,6066.24,679.42,27,0.989080550720051,0.57041024591937906,1.0102,3e-4,0,6066.24,1,7477.6,1477.6000000000004,1.1747961496570611,0.98,-0.01091944927994903,0,"(-0.1,0.15]",27,1.1747961496570611,3.606525032791019e-4,1.174435497153782
2020-03-28,1,6000,6149.1,713.3,27,0.975752549153535,0.589370880421532,0.9912,3e-4,0,6149.1,1,7477.6,1477.6000000000004,1.0714986681620644,0.97,-0.02424745084646495,0,"(-0.1,0.15]",27,1.0714986681620644,3.606525032791019e-4,1.0711380156587853
2020-03-28,1,6000,6124.07,698.14,27,0.979740597347842,0.583454041127951,0.9902,3e-4,0,12248.14,2,7477.6,1477.6000000000004,1.1164809350560063,0.97,-0.02025940265215797,0,"(-0.1,0.15]",27,1.1164809350560063,3.606525032791019e-4,1.1161202825527272
2020-03-28,1,6000,6112.98,690.77,27,0.981518015763179,0.580782479756343,0.9885,3e-4,0,9169.47,1.5,7477.6,1477.6000000000004,1.139062205944092,0.98,-0.01848198423682101,0,"(-0.1,0.15]",27,1.139062205944092,3.606525032791019e-4,1.138701553440813
2020-03-28,1,6000,6119.21,697.59,27,0.980518727090589,0.582344798980519,0.9919,3e-4,0,6119.21,1,7477.6,1477.6000000000004,1.1181496294384958,0.98,-0.01948127290941104,0,"(-0.1,0.15]",27,1.1181496294384958,3.606525032791019e-4,1.1177889769352167
2020-03-28,1,6000,6105.03,689.87,27,0.982796153335856,0.579028942909193,0.9935,3e-4,0,6105.03,1,7477.6,1477.6000000000004,1.141852812848798,0.98,-0.01720384666414398,0,"(-0.1,0.15]",27,1.141852812848798,3.606525032791019e-4,1.1414921603455188
2020-03-28,1,6000,6203.2,775.4,27,0.967242713438225,0.602151577248603,1.024,3e-4,0,6203.2,1,7477.6,1477.6000000000004,0.9055971111684298,0.96,-0.03275728656177501,0,"(-0.1,0.15]",27,0.9055971111684298,3.606525032791019e-4,0.9052364586651507
2020-03-28,1,6000,6208.32,776.04,27,0.966445028606773,0.603272051625581,1.0204,3e-4,0,12416.64,2,7477.6,1477.6000000000004,0.9040255656924908,0.96,-0.03355497139322705,0,"(-0.1,0.15]",27,0.9040255656924908,3.606525032791019e-4,0.9036649131892117
