Trade Date,Underlying,Product Type,Exchange,Volume
2018/4/13,SPX,I,CBOE,1493411
2018/4/16,SPX,I,CBOE,1445241
2018/4/17,SPX,I,CBOE,1827994
2018/4/18,SPX,I,CBOE,1551532
2018/4/19,SPX,I,CBOE,1359431
2018/4/20,SPX,I,CBOE,1166451
2018/4/23,SPX,I,CBOE,785046
2018/4/24,SPX,I,CBOE,1494520
2018/4/25,SPX,I,CBOE,1398938
2018/4/26,SPX,I,CBOE,1015153
2018/4/27,SPX,I,CBOE,945726
2018/4/30,SPX,I,CBOE,1107204
2018/5/1,SPX,I,CBOE,1115947
2018/5/2,SPX,I,CBOE,1110996
2018/5/3,SPX,I,CBOE,1660954
2018/5/4,SPX,I,CBOE,1352650
2018/5/7,SPX,I,CBOE,985291
2018/5/8,SPX,I,CBOE,878190
2018/5/9,SPX,I,CBOE,1454266
2018/5/10,SPX,I,CBOE,1499286
2018/5/11,SPX,I,CBOE,1702225
2018/5/14,SPX,I,CBOE,1312243
2018/5/15,SPX,I,CBOE,1218167
2018/5/16,SPX,I,CBOE,1057547
2018/5/17,SPX,I,CBOE,1178772
2018/5/18,SPX,I,CBOE,958141
2018/5/21,SPX,I,CBOE,1038173
2018/5/22,SPX,I,CBOE,1040602
2018/5/23,SPX,I,CBOE,1209613
2018/5/24,SPX,I,CBOE,1066685
2018/5/25,SPX,I,CBOE,954575
2018/5/29,SPX,I,CBOE,1471714
2018/5/30,SPX,I,CBOE,1125824
2018/5/31,SPX,I,CBOE,1229594
2018/6/1,SPX,I,CBOE,1055337
2018/6/4,SPX,I,CBOE,986134
2018/6/5,SPX,I,CBOE,860122
2018/6/6,SPX,I,CBOE,1371216
2018/6/7,SPX,I,CBOE,1439012
2018/6/8,SPX,I,CBOE,1027127
2018/6/11,SPX,I,CBOE,1372392
2018/6/12,SPX,I,CBOE,1292584
2018/6/13,SPX,I,CBOE,1129137
2018/6/14,SPX,I,CBOE,1208244
2018/6/15,SPX,I,CBOE,1410666
2018/6/18,SPX,I,CBOE,1329201
2018/6/19,SPX,I,CBOE,980386
2018/6/20,SPX,I,CBOE,1311137
2018/6/21,SPX,I,CBOE,1073082
2018/6/22,SPX,I,CBOE,1040257
2018/6/25,SPX,I,CBOE,1629229
2018/6/26,SPX,I,CBOE,1056517
2018/6/27,SPX,I,CBOE,1308523
2018/6/28,SPX,I,CBOE,1316213
2018/6/29,SPX,I,CBOE,1197663
2018/7/2,SPX,I,CBOE,998185
2018/7/3,SPX,I,CBOE,716745
2018/7/5,SPX,I,CBOE,942521
2018/7/6,SPX,I,CBOE,1178575
2018/7/9,SPX,I,CBOE,1481154
2018/7/10,SPX,I,CBOE,1260187
2018/7/11,SPX,I,CBOE,904962
2018/7/12,SPX,I,CBOE,1283419
2018/7/13,SPX,I,CBOE,1340295
2018/7/16,SPX,I,CBOE,1129879
2018/7/17,SPX,I,CBOE,1246332
2018/7/18,SPX,I,CBOE,1321023
2018/7/19,SPX,I,CBOE,1334149
2018/7/20,SPX,I,CBOE,1115587
2018/7/23,SPX,I,CBOE,900178
2018/7/24,SPX,I,CBOE,1207773
2018/7/25,SPX,I,CBOE,1351968
2018/7/26,SPX,I,CBOE,1251801
2018/7/27,SPX,I,CBOE,1312664
2018/7/30,SPX,I,CBOE,1177873
2018/7/31,SPX,I,CBOE,1066837
2018/8/1,SPX,I,CBOE,892774
2018/8/2,SPX,I,CBOE,955452
2018/8/3,SPX,I,CBOE,1245840
2018/8/6,SPX,I,CBOE,1177482
2018/8/7,SPX,I,CBOE,1282482
2018/8/8,SPX,I,CBOE,1185950
2018/8/9,SPX,I,CBOE,949975
2018/8/10,SPX,I,CBOE,1675124
2018/8/13,SPX,I,CBOE,1184732
2018/8/14,SPX,I,CBOE,795210
2018/8/15,SPX,I,CBOE,1821651
2018/8/16,SPX,I,CBOE,1330301
2018/8/17,SPX,I,CBOE,1432447
2018/8/20,SPX,I,CBOE,1101875
2018/8/21,SPX,I,CBOE,1407212
2018/8/22,SPX,I,CBOE,1273545
2018/8/23,SPX,I,CBOE,948974
2018/8/24,SPX,I,CBOE,1248376
2018/8/27,SPX,I,CBOE,1846465
2018/8/28,SPX,I,CBOE,1516740
2018/8/29,SPX,I,CBOE,1568484
2018/8/30,SPX,I,CBOE,1493378
2018/8/31,SPX,I,CBOE,1295163
2018/9/4,SPX,I,CBOE,1197072
2018/9/5,SPX,I,CBOE,1316500
2018/9/6,SPX,I,CBOE,1342597
2018/9/7,SPX,I,CBOE,1386818
2018/9/10,SPX,I,CBOE,1064013
2018/9/11,SPX,I,CBOE,1050024
2018/9/12,SPX,I,CBOE,1184594
2018/9/13,SPX,I,CBOE,1285607
2018/9/14,SPX,I,CBOE,1375893
2018/9/17,SPX,I,CBOE,1267328
2018/9/18,SPX,I,CBOE,1152402
2018/9/19,SPX,I,CBOE,1209426
2018/9/20,SPX,I,CBOE,2174570
2018/9/21,SPX,I,CBOE,1711654
2018/9/24,SPX,I,CBOE,1325521
2018/9/25,SPX,I,CBOE,881193
2018/9/26,SPX,I,CBOE,1098857
2018/9/27,SPX,I,CBOE,1294747
2018/9/28,SPX,I,CBOE,1408061
2018/10/1,SPX,I,CBOE,1174104
2018/10/2,SPX,I,CBOE,776942
2018/10/3,SPX,I,CBOE,1150873
2018/10/4,SPX,I,CBOE,1758250
2018/10/5,SPX,I,CBOE,1659426
2018/10/8,SPX,I,CBOE,1570663
2018/10/9,SPX,I,CBOE,969482
2018/10/10,SPX,I,CBOE,2719764
2018/10/11,SPX,I,CBOE,2962451
2018/10/12,SPX,I,CBOE,2369369
2018/10/15,SPX,I,CBOE,1641906
2018/10/16,SPX,I,CBOE,1829113
2018/10/17,SPX,I,CBOE,1739270
2018/10/18,SPX,I,CBOE,1762638
