DateTime,BTC Volatility Index (DVOL),VIX
2021-08-19,93.15,94.84590654876413
2021-08-20,91.5,93.88216098538274
2021-08-21,92.36,94.87430762781793
2021-08-22,90.85,93.42188672622895
2021-08-23,92.94,94.52290272287638
2021-08-24,90.98,95.04307950108668
2021-08-25,90.22,93.82075769460926
2021-08-26,88.82,93.38323430092476
2021-08-27,87.96,92.14288576580995
2021-08-28,88.87,91.38759636990955
2021-08-29,89.51,91.56522436015028
2021-08-30,89.26,91.0403246936833
2021-08-31,90.89,91.92559515022367
2021-09-01,90.96,92.50663672809024
2021-09-02,92.82,96.56577628973008
2021-09-03,89.6,94.21242677848093
2021-09-04,89.71,92.31558147189838
2021-09-05,91.08,91.5672243734571
2021-09-06,91.05,92.16897709037355
2021-09-07,90.7,94.53642475877419
2021-09-08,90.89,94.62625292247712
2021-09-09,90.8,92.53704991127663
2021-09-10,89.09,90.23702050588386
2021-09-11,88.53,89.21572975181132
2021-09-12,87.79,88.90352131892823
2021-09-13,91.46,90.34825141727428
2021-09-14,90.53,90.5730769114194
2021-09-15,89.48,88.95186964337661
2021-09-16,84.03,86.23182371698354
2021-09-17,81.2,83.41764194385354
2021-09-18,81.35,82.69853425640738
2021-09-19,82.76,82.84736932304381
2021-09-20,85.08,87.19673546408717
2021-09-21,91.15,90.12605289577127
2021-09-22,88.51,91.07505004988892
2021-09-23,83.29,87.16179203072628
2021-09-24,79.91,86.40776149974909
2021-09-25,84.54,86.00878153682655
2021-09-26,83.43,86.08123696833682
2021-09-27,86.0,87.02288998451624
2021-09-28,87.76,88.67478432454739
2021-09-29,90.23,89.76014606123988
2021-09-30,89.42,90.66160488200377
2021-10-01,82.64,88.60683383422423
2021-10-02,81.68,86.17243610573384
2021-10-03,83.81,85.20645151234982
2021-10-04,85.18,86.57422930150753
2021-10-05,88.5,89.27238291722661
2021-10-06,88.61,88.17337409450641
2021-10-07,87.07,88.02851526214184
2021-10-08,85.71,87.41180807781299
2021-10-09,87.2,87.40387694088798
2021-10-10,87.16,87.74783172205696
2021-10-11,89.19,89.1547578888941
2021-10-12,89.74,90.66733476077339
2021-10-13,91.43,91.82361245975879
2021-10-14,91.45,93.14131830214833
2021-10-15,90.46,94.46251573428695
2021-10-16,85.6,90.38857980744893
2021-10-17,86.8,89.29222702319983
2021-10-18,89.48,90.15156318759875
2021-10-19,91.33,90.87306781964867
2021-10-20,93.0,91.93428753543702
2021-10-21,91.09,91.63921649742483
2021-10-22,85.19,88.20598738660135
2021-10-23,84.3,86.59257211474866
2021-10-24,85.65,86.88026606732745
2021-10-25,84.38,86.0990706233489
2021-10-26,83.58,86.27563552346226
2021-10-27,87.39,86.83559462801259
2021-10-28,85.94,86.32978530056616
2021-10-29,84.59,85.59016058280002
2021-10-30,86.51,85.48337761595307
2021-10-31,87.1,86.02823026425531
2021-11-01,84.77,86.4179595190836
2021-11-02,85.33,86.46971547978833
2021-11-03,84.41,85.10638076247935
2021-11-04,83.99,85.18339090594174
2021-11-05,82.9,85.01571752146683
2021-11-06,84.31,85.69359128795762
2021-11-07,86.2,85.8000886791041
2021-11-08,86.05,86.03670281647965
2021-11-09,84.33,85.62415550712285
2021-11-10,84.23,85.72139401713066
2021-11-11,83.79,84.77886344110823
2021-11-12,84.14,85.77629240349928
2021-11-13,85.25,86.2941130684737
2021-11-14,86.26,86.3197156064993
2021-11-15,84.6,86.11349812352819
2021-11-16,85.04,87.55152184815165
2021-11-17,86.37,88.52530318073597
2021-11-18,87.15,89.18915250380681
2021-11-19,85.39,88.31233300486738
2021-11-20,84.9,86.71889467418711
2021-11-21,83.67,85.8452521387033
2021-11-22,85.18,86.79987441264473
2021-11-23,86.18,87.65828613070465
2021-11-24,89.26,89.07955965305086
2021-11-25,86.05,87.45787823696408
2021-11-26,84.06,86.67899158614034
2021-11-27,83.03,85.16298106675349
2021-11-28,81.65,84.69401346537651
2021-11-29,81.95,84.31567934637604
2021-11-30,82.74,84.27069606211495
2021-12-01,81.56,84.0160672380724
2021-12-02,83.07,84.24142518446266
2021-12-03,81.21,86.38495067998875
2021-12-04,83.84,90.33487095786829
2021-12-05,86.98,89.93390004715414
2021-12-06,86.63,90.15128640295177
2021-12-07,85.57,89.15660801915371
2021-12-08,85.65,88.26886881980377
2021-12-09,88.34,89.03251135306388
2021-12-10,89.19,89.75965923571016
2021-12-11,88.47,89.95332791443802
2021-12-12,88.55,90.47046970379908
2021-12-13,89.52,91.51659788013771
2021-12-14,88.74,91.67540195852493
2021-12-15,89.19,90.81964866952544
2021-12-16,85.88,87.91779893087462
2021-12-17,84.57,86.30203289432629
2021-12-18,83.81,85.52460377522644
2021-12-19,84.56,85.736677919153
2021-12-20,86.56,86.17321791101926
2021-12-21,85.06,86.28307384342162
2021-12-22,82.63,84.81764670497373
2021-12-23,80.96,83.49484801741363
2021-12-24,77.14,81.71887261343012
2021-12-25,77.85,80.87923395253472
2021-12-26,78.81,81.08745485794329
2021-12-27,78.51,80.71144890342987
2021-12-28,76.7,80.3189131404259
2021-12-29,76.5,80.05446834061867
2021-12-30,76.61,79.15961004815739
2021-12-31,74.65,78.38653308084385
2022-01-01,69.68,75.2475031121777
2022-01-02,69.07,73.19330774998548
2022-01-03,70.32,72.30752935497482
2022-01-04,70.16,71.979837635754
2022-01-05,70.95,74.7334891176373
2022-01-06,72.22,75.01803388927871
2022-01-07,72.07,74.19254647309953
2022-01-08,70.97,73.16182683552694
2022-01-09,70.59,72.44016649912177
2022-01-10,72.63,73.0845083685451
2022-01-11,74.08,74.56661229101297
2022-01-12,70.71,74.26309198448448
2022-01-13,66.4,71.14598392506375
2022-01-14,64.15,68.03062324444215
2022-01-17,61.91,65.76085590297316
2022-01-18,63.8,65.89413770585026
2022-01-19,64.99,66.10302624974766
2022-01-20,59.41,64.13993695468025
2022-01-21,63.03,68.26262605715854
2022-01-22,72.52,74.0084363975535
2022-01-23,76.56,76.34500672792736
2022-01-24,76.25,80.7863376199088
2022-01-25,77.64,80.4059783549958
2022-01-26,78.66,80.39467632312
2022-01-28,73.49,78.33295440541553
2022-01-29,73.22,76.41477752959588
2022-01-30,71.79,74.98441372923611
2022-01-31,70.16,73.29773877062061
2022-02-01,69.59,72.31390027335813
2022-02-02,71.06,72.9376418363056
2022-02-03,72.53,73.35806678485795
2022-02-04,68.89,72.89843810941733
2022-02-05,62.85,70.82396140701667
2022-02-06,67.09,70.01699377697514
2022-02-07,69.14,70.64337718705028
2022-02-08,68.73,70.7735225841439
2022-02-09,69.64,70.60267683898118
2022-02-10,68.07,69.71527910358044
2022-02-11,66.71,69.87070816477788
2022-02-12,71.32,70.93310055911135
2022-02-13,70.52,71.18818641406412
2022-02-14,70.83,71.54200250717446
2022-02-15,69.41,71.64660433992371
2022-02-16,67.59,70.8277341666313
2022-02-17,65.15,69.3984267424524
2022-02-18,66.98,69.36075621804466
2022-02-19,67.36,69.0994907286584
2022-02-20,66.7,69.80302760857478
2022-02-21,70.08,72.79257798504798
2022-02-22,74.15,75.37605681075614
2022-02-23,71.25,75.18518038331115
2022-02-24,73.58,81.29419986322324
2022-02-25,69.99,78.44401486780356
2022-02-26,69.93,75.80524418132521
2022-02-27,72.29,77.40095230677771
2022-02-28,75.09,78.78499894775479
2022-03-01,74.66,79.03369192634753
2022-03-02,73.62,78.19327071629297
2022-03-03,73.1,77.32193855792536
2022-03-04,72.11,77.41129076938938
2022-03-05,76.65,77.8329349204827
2022-03-06,76.62,78.35428931283477
2022-03-07,78.14,78.58339669204574
2022-03-08,79.94,80.2257933504986
2022-03-09,78.69,81.18612931419808
2022-03-10,80.13,82.16235347646881
2022-03-11,77.41,80.67771850287255
2022-03-12,78.69,79.36151412193024
2022-03-13,80.34,80.33570008375146
2022-03-14,81.57,80.67883755812912
2022-03-15,80.69,81.61786133766182
2022-03-16,80.0,82.62980256913895
2022-03-17,75.05,80.1624134022993
2022-03-18,70.75,76.72451174940056
2022-03-19,69.74,73.5401351020617
2022-03-20,71.3,72.71977858547602
2022-03-21,71.33,72.61307060291912
2022-03-22,70.89,72.47271060707581
2022-03-23,69.5,71.25097980554173
2022-03-24,65.43,69.49662282152765
2022-03-25,61.98,67.17834838842687
2022-03-26,61.55,65.4599852679111
2022-03-27,65.75,65.64025481167471
2022-03-28,62.82,65.38944655019972
2022-03-29,61.6,64.10776306489151
2022-03-30,60.9,63.65090119915632
2022-03-31,61.7,63.04419818128796
2022-04-01,58.86,63.21243271671523
2022-04-02,58.55,61.62343566438075
2022-04-03,58.16,60.77948085692777
2022-04-04,59.46,61.11844338164232
2022-04-05,60.1,61.88183769125488
2022-04-06,62.87,64.65438137738373
2022-04-07,61.69,65.37221405326041
2022-04-08,59.28,62.61848205215517
2022-04-09,59.19,62.56555555118546
2022-04-10,57.0,62.16872771443359
2022-04-11,60.08,64.6493009245508
2022-04-12,65.09,65.16714580521452
2022-04-13,63.38,65.36748569387663
2022-04-14,60.07,63.140476216158035
2022-04-15,59.54,61.94268269915733
2022-04-16,60.03,61.16372510228194
2022-04-17,60.96,62.286761053441325
2022-04-18,62.62,63.606281691348805
