Date,Open,High,Low,Close,Adj Close,Volume
2012-03-21,831.000000,833.840027,827.460022,829.919983,829.919983,3573590000
2012-03-22,823.429993,823.460022,816.700012,821.440002,821.440002,3740590000
2012-03-23,821.440002,830.030029,815.989990,830.030029,830.030029,3472950000
2012-03-26,836.450012,846.309998,836.450012,846.130005,846.130005,3576950000
2012-03-27,846.510010,847.919983,839.979980,839.979980,839.979980,3513640000
2012-03-28,839.820007,841.219971,828.479980,834.450012,834.450012,3892800000
2012-03-29,828.859985,833.770020,822.719971,832.219971,832.219971,3832000000
2012-03-30,836.469971,838.369995,828.000000,830.299988,830.299988,3676890000
2012-04-02,828.890015,840.630005,826.570007,840.630005,840.630005,3572010000
2012-04-03,839.570007,841.059998,831.650024,834.799988,834.799988,3822090000
2012-04-04,827.669983,827.669983,817.080017,820.380005,820.380005,3938290000
2012-04-05,817.239990,821.349976,816.429993,818.179993,818.179993,3303740000
2012-04-09,808.719971,808.719971,800.750000,803.460022,803.460022,3468980000
2012-04-10,802.710022,803.609985,783.559998,784.150024,784.150024,4631730000
2012-04-11,791.030029,796.729980,791.010010,796.590027,796.590027,3743040000
2012-04-12,796.710022,810.289978,796.710022,808.590027,808.590027,3618280000
2012-04-13,806.840027,806.840027,796.229980,796.289978,796.289978,3631160000
2012-04-16,796.289978,802.700012,791.030029,798.080017,798.080017,3574780000
2012-04-17,803.510010,816.320007,803.510010,810.630005,810.630005,3456200000
2012-04-18,809.409973,809.409973,800.549988,803.320007,803.320007,3463140000
2012-04-19,804.309998,809.739990,794.809998,798.900024,798.900024,4180020000
2012-04-20,798.890015,810.219971,798.890015,804.049988,804.049988,3833320000
2012-04-23,795.559998,795.559998,785.369995,791.849976,791.849976,3654860000
2012-04-24,792.500000,799.539978,790.880005,798.049988,798.049988,3617100000
2012-04-25,805.419983,813.840027,805.419983,812.119995,812.119995,3998430000
2012-04-26,810.609985,819.559998,810.169983,818.330017,818.330017,4034700000
2012-04-27,819.090027,826.049988,812.849976,825.469971,825.469971,3645830000
2012-04-30,825.469971,825.469971,816.479980,816.880005,816.880005,3574010000
2012-05-01,817.700012,830.099976,815.549988,815.890015,815.890015,3807950000
2012-05-02,811.479980,818.820007,807.979980,818.599976,818.599976,3803860000
2012-05-03,817.950012,818.229980,803.650024,806.590027,806.590027,4004910000
2012-05-04,802.090027,802.090027,791.260010,791.840027,791.840027,3975140000
2012-05-07,788.729980,796.130005,788.070007,793.809998,793.809998,3559390000
2012-05-08,788.669983,793.719971,781.280029,793.059998,793.059998,4261670000
2012-05-09,792.710022,792.799988,781.440002,788.919983,788.919983,4288540000
2012-05-10,790.219971,795.770020,788.140015,791.750000,791.750000,3727990000
2012-05-11,786.289978,795.890015,785.969971,790.059998,790.059998,3869070000
2012-05-14,782.770020,784.940002,777.780029,778.950012,778.950012,3688120000
2012-05-15,778.510010,784.880005,775.969971,777.359985,777.359985,4114040000
2012-05-16,778.690002,783.890015,771.969971,772.109985,772.109985,4280420000
2012-05-17,772.650024,773.369995,754.330017,754.330017,754.330017,4664280000
2012-05-18,753.799988,758.780029,745.710022,747.210022,747.210022,4512470000
2012-05-21,749.190002,764.640015,745.770020,764.640015,764.640015,3786750000
2012-05-22,765.090027,770.159973,755.599976,759.630005,759.630005,4123680000
2012-05-23,755.059998,766.179993,748.159973,765.169983,765.169983,4108330000
2012-05-24,766.469971,766.919983,756.820007,766.570007,766.570007,3937670000
2012-05-25,766.640015,768.479980,764.000000,766.409973,766.409973,2872660000
2012-05-29,771.799988,778.770020,768.989990,777.159973,777.159973,3441640000
2012-05-30,770.739990,770.739990,761.669983,762.000000,762.000000,3534290000
2012-05-31,762.599976,765.479980,751.580017,761.820007,761.820007,4557620000
2012-06-01,752.109985,752.109985,737.419983,737.419983,737.419983,4669350000
2012-06-04,739.690002,742.729980,729.750000,737.239990,737.239990,4011960000
2012-06-05,734.090027,746.210022,733.840027,746.090027,746.090027,3403230000
2012-06-06,746.780029,765.169983,746.780029,765.169983,765.169983,4268360000
2012-06-07,772.059998,775.650024,760.039978,760.340027,760.340027,4258140000
