test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPrice_t,SellPrice_th,Option_type,num_ops,num_traded_calls,num_traded_puts,M_group,steps_ahead,R_t,RF_t,ER_t
2022-05-28,1,28000,28564.78,2627.96,27,0.980228099078656,0.9796379059804,0.7577,0.0106,0,17138.868,0.6,21088.3,0,-1,0.98,-0.01977190092134395,0,61.96750331975916,0,Call,2,0.02358007858557937,0.9764199214144206,"(-0.1,0.15]",27,2.7333653116605454,7.844170833293251e-4,2.7325808945772163
2022-05-28,1,29000,28986.8029188455,2221.03042181015,27,1.00046493109879,0.971830194707652,0.704580866438806,0.0106,0,417405.935,14.4,21088.3,0,-1,1,4.64931098790089e-4,0,62.38020811131176,0,Call,2,0.02808615654191337,0.9719138434580866,"(-0.1,0.15]",27,2.5117589721749374,7.844170833293251e-4,2.5109745550916083
2022-05-28,1,30000,29047.9860459514,1730.20410988837,27,1.03277667188362,0.967146062009208,0.680773956186543,0.0106,0,2524263.058,86.9,21088.3,0,-1,1.03,0.03277667188361999,0,53.52564995757029,0,Call,2,0.03093603214306529,0.9690639678569347,"(-0.1,0.15]",27,2.087006102495745,7.844170833293251e-4,2.086221685412416
2022-07-30,1,23000,24243.6587766897,2608.67744613737,27,0.948877558030999,0.982507719678424,0.744248212766163,0.0234,0,150282.825,6.2,21597.93,0,-1,0.94,-0.05112244196900095,0,53.92763863527447,0,Call,2,0.02067240574917544,0.9793275942508246,"(-0.1,0.15]",27,-7.038583256229381e-4,0.001732457878236282,-0.0024363162038592203
2022-07-30,1,24000,23902.1132096714,1870.26062641787,27,1.00431188331933,0.980901895297668,0.734934511787168,0.0234,0,1780323.453,74.5,21597.93,0,-1,1,0.00431188331933007,0,38.87621542595135,0,Call,2,0.020786522945955066,0.9792134770540449,"(-0.1,0.15]",27,0.38419656225097204,0.001732457878236282,0.38246410437273576
2022-07-30,1,25000,24475.4961826535,1714.93430423093,27,1.02151217096948,0.979989947217404,0.728694637774788,0.0234,0,619180.092,25.3,21597.93,0,-1,1.02,0.0215121709694801,0,33.770266822453685,0,Call,2,0.019691872008822,0.980308127991178,"(-0.1,0.15]",27,0.3389134019824955,0.001732457878236282,0.3371809441042592
2022-09-03,1,19000,19824.12,1853.56,27,0.95842841952127,0.975250749000655,0.6657,0.0285,0,1982.412,0.1,19598.86,598.8600000000006,-0.6769136148816328,0.95,-0.04157158047873,1,41.0292636671195,13.255996482277999,Call,2,0.022135384701395963,0.977864615298604,"(-0.1,0.15]",27,-0.9876564915251821,0.0021104430346514658,-0.9897669345598336
2022-09-03,1,20000,19852.6983589027,1335.37983831192,27,1.00742801863842,0.972619689991711,0.652954830010031,0.0285,0,349404.616,17.6,19598.86,0,-1,1,0.0074280186384199,1,33.730392963202824,0,Call,2,0.0252590251818105,0.9747409748181894,"(-0.1,0.15]",27,-0.7442424320362199,0.0021104430346514658,-0.7463528750708713
2022-09-03,1,21000,19924.106115241,948.291715968872,27,1.05400214195137,0.969610815393671,0.638664969600023,0.0285,0,43832.928,2.2,19598.86,0,-1,1.05,0.0540021419513701,1,28.971234707057526,0,Call,2,0.030550973101623632,0.9694490268983764,"(-0.1,0.15]",27,-0.299972976620666,0.0021104430346514658,-0.3020834196553175
2022-09-03,1,22000,19830.7291738052,558.153763738684,27,1.10939315258053,0.963982500130606,0.611826703637073,0.0285,0,194340.482,9.8,19598.86,0,-1,1.1,0.10939315258053006,1,20.021132065477005,0,Call,2,0.03587028049648785,0.9641297195035121,"(-0.1,0.15]",27,-0.12580737900986153,0.0021104430346514658,-0.127917822044513
