test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,SellSpot_t,BuySpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,1,8000,7612.94666666667,350.817777777778,27,1.05091564642252,0.955627884018833,0.6102,0.0156,0,88860.223,11.6,7194.4,0,-1,1.05,0.05091564642252,1,350.817777777778,0,7612.94666666667,7194.4,"(-0.1,0.15]",27,0.007099187020310443,5.710970113459446e-4,0.006528090008964499
2019-11-30,1,8500,7569.2375,200.835,27,1.12317332689264,0.955918884662368,0.620225,0.0156,0,54360.382,7.2,7194.4,0,-1,1.12,0.12317332689264004,1,200.835,0,7569.2375,7194.4,"(-0.1,0.15]",27,0.02238593020052746,5.710970113459446e-4,0.021814833189181516
2020-03-28,1,6000,6164.07421052632,744.572105263158,27,0.973499945817936,0.995877081083309,1.01586315789474,3e-4,0,992880.46,160.4,7477.6,1477.6000000000004,0.9844955103142958,0.97,-0.02650005418206402,0,744.572105263158,1477.6000000000004,6164.07421052632,7477.6,"(-0.1,0.15]",27,-0.1066134480678918,5.710970113459446e-4,-0.10718454507923775
2020-03-28,1,6500,6212.58384615385,536.631538461539,27,1.04641704312352,0.994624880131656,0.985615384615385,3e-4,0,578824.262,93.6,7477.6,977.6000000000004,0.8217341507781435,1.04,0.04641704312352002,0,536.631538461539,977.6000000000004,6212.58384615385,7477.6,"(-0.1,0.15]",27,-0.14483642789258383,5.710970113459446e-4,-0.14540752490392977
2020-03-28,1,7000,6243.5125,371.216666666667,27,1.12132152092055,0.993536109670396,0.965108333333333,3e-4,0,103378.8,16.6,7477.6,477.6000000000003,0.28658016432451827,1.12,0.12132152092055004,0,371.216666666667,477.6000000000003,6243.5125,7477.6,"(-0.1,0.15]",27,-0.19199913877404956,5.710970113459446e-4,-0.1925702357853955
2020-05-30,1,9000,9612.60052631579,1065.24263157895,27,0.936348234006935,0.964047993777719,0.681742105263158,0.0014,0,444277.386,46.2,9240.85,240.85000000000036,-0.7739012757656893,0.93,-0.06365176599306499,1,1065.24263157895,240.85000000000036,9612.60052631579,9240.85,"(-0.1,0.15]",27,-0.05681792238935147,5.710970113459446e-4,-0.05738901940069741
2020-05-30,1,9500,9539.4175,718.88375,27,0.995942617419543,0.956998650739786,0.65686875,0.0014,0,237810.544,25,9240.85,0,-1,0.99,-0.00405738258045695,1,718.88375,0,9539.4175,9240.85,"(-0.1,0.15]",27,-0.05150276685336125,5.710970113459446e-4,-0.05207386386470719
2020-05-30,1,10000,9533.64270833333,501.409375,27,1.04896308977858,0.955349170386911,0.6555875,0.0014,0,1732554.37,182.2,9240.85,0,-1,1.04,0.04896308977857999,1,501.409375,0,9533.64270833333,9240.85,"(-0.1,0.15]",27,-0.02575830598504177,5.710970113459446e-4,-0.026329402996387714
2020-05-30,1,10500,9519.1647368421,348.36947368421,27,1.10308671468587,0.956636797440563,0.666489473684211,0.0014,0,1586657.4,167,9240.85,0,-1,1.1,0.10308671468587004,1,348.36947368421,0,9519.1647368421,9240.85,"(-0.1,0.15]",27,-0.009376938319377168,5.710970113459446e-4,-0.009948035330723113
2020-07-04,1,9000,9142.073125,559.525,27,0.984480417084224,0.899118152099688,0.48341875,0.0014,0,762585.77,83.6,11114.93,2114.9300000000003,2.7798668513471254,0.98,-0.01551958291577604,1,559.525,2114.9300000000003,9142.073125,11114.93,"(-0.1,0.15]",27,-0.02851416127468943,5.710970113459446e-4,-0.029085258286035375
