Date,EMA
2018-04-30,90.28487405120161
2018-05-01,92.3544053436918
2018-05-02,93.54786436874807
2018-05-03,93.88087319188946
2018-05-04,93.44739073011482
2018-05-05,92.99203533276315
2018-05-06,91.82838150611838
2018-05-07,91.55092935843908
2018-05-08,92.28627031717645
2018-05-09,92.24259982056525
2018-05-10,91.78063620369129
2018-05-11,90.96799531770058
2018-05-12,90.78826841621165
2018-05-13,90.31169882068664
2018-05-14,89.22576920006986
2018-05-15,88.01660183952532
2018-05-16,88.17907010137756
2018-05-17,87.87313978992081
2018-05-18,87.19783608468896
2018-05-19,86.89986285839228
2018-05-20,85.99668625996061
2018-05-21,84.81305881624999
2018-05-22,84.15152470740092
2018-05-23,83.82224880751389
2018-05-24,84.58569970626954
2018-05-25,84.28747816213178
2018-05-26,83.75389650601562
2018-05-27,81.89558059568675
2018-05-28,80.56736064512265
2018-05-29,80.42371856707732
2018-05-30,79.82329879729122
2018-06-01,79.37443385722344
2018-06-02,78.76542427184295
2018-06-03,78.05051370837201
2018-06-05,76.01468033485853
2018-06-06,74.89016126649469
2018-06-07,73.95792990087125
2018-06-08,71.17177682861853
2018-06-09,70.09954718934807
2018-06-10,70.20482163994464
2018-06-11,71.43850714491037
2018-06-12,72.24013625408072
2018-06-13,73.5263827974788
2018-06-14,74.43083781717039
2018-06-17,72.84939049731521
2018-06-18,72.30751942628487
2018-06-19,71.28649091566706
2018-06-22,71.50574338541101
2018-06-23,71.42502503307293
2018-06-24,71.53214441348666
2018-06-25,72.43341314357248
2018-06-26,72.59475830757233
2018-06-27,73.11173578284695
2018-06-28,73.02615009324202
2018-06-29,72.47646771103152
2018-06-30,72.2069992077346
2018-07-03,72.28726986145213
2018-07-04,72.53155051762933
2018-07-05,72.40517203182814
2018-07-06,73.15412208071008
2018-07-07,72.96217537484733
2018-07-10,70.09948668810897
2018-07-11,69.75014355961518
2018-07-12,69.51609176136928
2018-07-15,69.2512859377499
2018-07-16,69.2585127148436
2018-07-17,69.27855254501816
2018-07-18,69.72674836414309
2018-07-19,69.91979566068763
2018-07-20,69.12316725283362
2018-07-22,69.09508037284387
2018-07-23,69.52652725908604
2018-07-24,70.9508388059971
2018-07-25,71.5475312522845
2018-07-26,72.0060952917886
2018-07-27,73.03533013852947
2018-07-28,73.22775201451209
2018-07-29,70.51696708474822
2018-07-30,71.47671191344149
2018-07-31,73.07716877690486
2018-08-01,74.25587233813908
2018-08-02,75.07283029135479
2018-08-03,75.88319214979923
2018-08-04,76.2525291575971
2018-08-05,76.27010060095643
2018-08-06,76.7371196840622
2018-08-07,92.47913830977761
2018-08-09,90.3552880107141
2018-08-10,89.02886545051166
2018-08-11,88.31180914277812
2018-08-13,87.12134242028104
2018-08-14,86.13658253738781
2018-08-15,85.8139460558832
2018-08-16,85.61842303504545
2018-08-17,85.12345214373107
2018-08-18,84.33461258018346
2018-08-19,82.83784516562943
2018-08-20,82.36272701642389
2018-08-22,82.88919488821819
2018-08-23,82.42018150104673
2018-08-24,82.29690964387517
2018-08-25,82.02037190498757
2018-08-26,81.51575504285175
2018-08-27,81.23298681682915
2018-08-28,80.95060344086627
2018-08-29,80.79267319570734
2018-08-30,80.97392831635787
2018-08-31,80.48433069242488
2018-09-01,80.3763550689749
2018-09-02,80.40206909834222
2018-09-03,80.1163636609276
2018-09-04,79.82302769575051
2018-09-05,79.99951546303923
2018-09-07,79.47963259197475
2018-09-08,79.81336427136839
2018-09-10,79.43541046696441
2018-09-12,78.16703412475789
2018-09-13,77.64579765448333
2018-09-14,76.73223069429726
2018-09-17,74.87981921699114
2018-09-18,73.07177434595238
2018-09-19,72.16724599036655
2018-09-20,71.36829099825073
2018-09-21,70.70389831034204
2018-09-22,69.7117831891773
2018-09-23,69.0152765841765
2018-09-24,67.98969242905012
2018-09-25,66.93095583218232
2018-09-26,65.09207582672676
2018-09-27,63.25520168340839
2018-09-28,61.857826178661014
2018-09-29,61.256308575339716
2018-09-30,61.351005823168535
2018-10-02,61.158617817637335
2018-10-03,61.15636694954047
2018-10-04,60.54160930587393
2018-10-05,59.49141213709767
2018-10-07,59.287082937823556
2018-10-08,59.76590880257754
2018-10-09,59.12594346364011
2018-10-10,58.54057435815588
2018-10-11,59.415523403278414
2018-10-12,60.15002653888133
2018-10-14,60.184735905104745
2018-10-15,62.43743265720327
2018-10-16,63.47396578616272
2018-10-17,64.08073460156852
2018-10-18,63.34130309773923
2018-10-19,61.33671440691677
2018-10-20,59.22049576483586
2018-10-21,57.84033507638084
2018-10-22,56.63263327211144
2018-10-23,55.0522925844777
2018-10-24,53.92282198202424
2018-10-25,53.05242139720026
2018-10-26,52.112209588364685
2018-10-27,51.27168461689163
2018-10-28,50.84271205990463
2018-10-29,50.087491099626945
2018-10-30,49.33981663285988
2018-10-31,48.7849425351965
2018-11-01,48.103103065190055
2018-11-02,46.794657437993656
2018-11-04,45.97271206093206
2018-11-06,46.037156771033715
2018-11-07,45.90944306098424
2018-11-08,46.71126150044362
2018-11-09,46.469579537743066
2018-11-12,46.30560886781165
2018-11-13,46.23741796150497
2018-11-14,51.15173412976562
2018-11-15,56.083256589422504
2018-11-16,59.383323012863784
2018-11-17,59.50129418267722
2018-11-18,60.639976189897006
2018-11-19,64.17060823397537
2018-11-20,68.97739657594263
2018-11-21,73.47839412503853
2018-11-22,75.50054097269702
2018-11-23,77.84882098848729
2018-11-24,81.40438280878205
2018-11-25,86.41829002346833
2018-11-26,91.56919298741136
2018-11-27,95.28716785151478
2018-11-28,97.33414251763887
2018-11-29,97.58202696990898
2018-11-30,97.12938384771083
2018-12-01,98.74777084639996
2018-12-03,98.50803053245085
2018-12-04,98.0525134793647
2018-12-05,97.40733104040693
2018-12-06,97.98536001415422
2018-12-07,100.11145866203894
2018-12-08,101.51071527447584
2018-12-10,102.2569522048089
2018-12-11,101.7443280760811
2018-12-12,101.75362855124057
2018-12-13,100.38905277469149
2018-12-14,98.88648709150806
2018-12-15,97.49327829284962
2018-12-16,95.00267245393182
2018-12-17,93.98937640587197
2018-12-18,94.36649217787946
2018-12-19,94.48622466544137
2018-12-20,95.28803267115414
2018-12-21,96.00527207038412
2018-12-22,97.7707005613929
2018-12-23,98.2897143354851
2018-12-24,100.14086263151522
2018-12-25,101.02632648207964
2018-12-26,101.96054957494735
2018-12-27,101.54308701416802
2018-12-28,100.15835138584583
2018-12-29,100.26303839187413
2018-12-31,99.66040986388205
2019-01-02,98.74901207918917
2019-01-03,97.10670342980924
2019-01-04,94.9090358825838
2019-01-06,92.51733939026448
2019-01-07,89.97405409566015
2019-01-08,87.56409905518046
2019-01-09,85.09370270206252
2019-01-10,83.98033547195851
2019-01-11,82.34098680780343
2019-01-12,81.5782741994298
2019-01-13,80.58677208864249
2019-01-15,79.72936959545603
2019-01-16,79.19254154567292
2019-01-17,78.6029994538027
2019-01-18,76.61694770741315
2019-01-19,75.47322065330893
2019-01-20,75.05627134682366
2019-01-21,73.62499866873377
2019-01-22,73.35259677549243
2019-01-23,73.02117958599528
2019-01-24,72.60721228244446
2019-01-25,71.98888978264175
2019-01-26,71.37561357533737
2019-01-27,70.60851253598864
2019-01-28,70.04247418888268
2019-01-29,69.87031160343096
2019-01-30,69.32746527515245
2019-01-31,68.42016757323557
2019-02-01,67.58364370107562
2019-02-02,65.88542540159133
2019-02-03,65.05955176316417
2019-02-04,64.90325005048814
2019-02-05,64.9242237240312
2019-02-06,64.91313554826895
2019-02-07,64.7483840510699
2019-02-08,64.05748350776322
2019-02-09,63.90919468803816
2019-02-10,63.87995421760496
2019-02-11,63.716046340777275
2019-02-12,63.19748870000926
2019-02-13,62.82509978263938
2019-02-14,62.05559000529025
2019-02-15,61.42751636785391
2019-02-16,61.12875392474527
2019-02-17,61.167053218609674
2019-02-18,61.07488479993688
2019-02-19,61.440781150582154
2019-02-20,61.33845868448888
2019-02-21,61.218211662784
2019-02-22,61.121348691786366
2019-02-23,61.631043440437836
2019-02-24,61.371543516528796
2019-02-25,62.260253496041614
2019-02-26,62.522145401222275
2019-02-27,62.37228545185485
2019-02-28,62.24941159663865
2019-03-01,61.68717263306671
2019-03-04,61.066388917115006
2019-03-05,60.14609201750643
