Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,1,10000,7580.88,53.07,27,1.31910807188611,0.967819459392909,0.6966,0.0156,0,121294.08,16,7194.4,0,-1,1.31,0.3191080718861099,1
2019-11-30,1,10000,7743.24,73.56,27,1.29144905750048,0.969588285958476,0.7042,0.0156,0,7743.24,1,7194.4,0,-1,1.29,0.29144905750048,1
2019-11-30,1,10000,7743.56,73.56,27,1.29139568880463,0.969554174044454,0.704,0.0156,0,15487.12,2,7194.4,0,-1,1.29,0.29139568880463007,1
2019-11-30,1,10000,7569.55,52.99,27,1.3210824949964,0.968570455369327,0.7009,0.0156,0,7569.55,1,7194.4,0,-1,1.32,0.32108249499639996,1
2019-11-30,1,10000,7709.24,61.67,27,1.29714472503126,0.966070163424195,0.6854,0.0156,0,3854.62,0.5,7194.4,0,-1,1.29,0.29714472503126,1
2019-11-30,1,10000,7807.42,74.17,27,1.28083284875157,0.966769619764048,0.6877,0.0156,0,39037.1,5,7194.4,0,-1,1.28,0.2808328487515701,1
2019-11-30,1,11000,7596.8,26.59,27,1.44797809604044,0.976016046930776,0.7562,0.0156,0,37984,5,7194.4,0,-1,1.44,0.44797809604044003,1
2019-11-30,1,11000,7596.8,26.59,27,1.44797809604044,0.976016046930776,0.7562,0.0156,0,84324.48,11.1,7194.4,0,-1,1.44,0.44797809604044003,1
2019-11-30,1,12000,7674.62,15.35,27,1.56359533110434,0.980964126417361,0.8007,0.0156,0,767.462,0.1,7194.4,0,-1,1.56,0.56359533110434,1
2019-11-30,1,12000,7743.39,27.1,27,1.5497088484501,0.986813732732263,0.8562,0.0156,0,7743.39,1,7194.4,0,-1,1.54,0.5497088484501,1
2019-11-30,1,13000,7690.6,11.54,27,1.69037526330845,0.988005959358085,0.8776,0.0156,0,3076.24,0.4,7194.4,0,-1,1.69,0.6903752633084499,1
2019-11-30,1,13000,7675.16,11.51,27,1.69377576493519,0.988195724264234,0.8801,0.0156,0,15350.32,2,7194.4,0,-1,1.69,0.6937757649351901,1
2019-11-30,1,13000,7664.24,11.5,27,1.69618905462251,0.988346923702067,0.8821,0.0156,0,58248.224,7.6,7194.4,0,-1,1.69,0.69618905462251,1
2019-11-30,1,14000,7487.26,11.23,27,1.86984290648381,0.995456827868757,1.019,0.0156,0,7487.26,1,7194.4,0,-1,1.86,0.86984290648381,1
2019-11-30,1,14000,7486.83,7.49,27,1.8699502993924,0.993214642468265,0.9658,0.0156,0,217118.07,29,7194.4,0,-1,1.86,0.8699502993924,1
2019-11-30,1,14000,7664.82,7.66,27,1.82652691126471,0.991546778530686,0.9338,0.0156,0,15329.64,2,7194.4,0,-1,1.82,0.82652691126471,1
2019-11-30,1,14000,7664.82,7.66,27,1.82652691126471,0.991546778530686,0.9338,0.0156,0,99642.66,13,7194.4,0,-1,1.82,0.82652691126471,1
2019-11-30,1,15000,7505.4,7.51,27,1.99856103605404,0.996409371178473,1.0538,0.0156,0,2251.62,0.3,7194.4,0,-1,1.99,0.99856103605404,1
2019-11-30,1,15000,7747.61,11.62,27,1.9360809333459,0.996403616377314,1.0514,0.0156,0,1549.522,0.2,7194.4,0,-1,1.93,0.9360809333458999,1
2019-11-30,1,20000,7491.87,11.24,27,2.66956047021638,0.999920721861324,1.4819,0.0156,0,2996.748,0.4,7194.4,0,-1,2.66,1.6695604702163802,1
2019-11-30,1,32000,7516.66,3.76,27,4.25720998422172,0.999998467081435,1.8375,0.0156,0,3006.664,0.4,7194.4,0,-1,4.25,3.2572099842217197,1
2019-11-30,1,40000,7515.07,3.76,27,5.3226383786179,0.999999934006213,2.0754,0.0156,0,1503.014,0.2,7194.4,0,-1,5.32,4.3226383786179,1
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,0.996625993880593,0.972,0.0156,0,7468.44,1,7194.4,0,-1,0.6,-0.397464530745376,1
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,0.996625993880593,0.972,0.0156,0,3734.22,0.5,7194.4,0,-1,0.6,-0.397464530745376,1
2019-11-30,-1,5000,7692.19,30.77,27,0.650009945152161,0.995989175561274,0.9543,0.0156,0,7692.19,1,7194.4,0,-1,0.65,-0.34999005484783896,1
