test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019/11/30,1,12000,7743.39,27.1,27,1.549708848,0.986813733,0.8562,0.0156,0,7743.39,1,7194.4,0,-1,1.54,0.549708848,1
2019/11/30,1,13000,7690.6,11.54,27,1.690375263,0.988005959,0.8776,0.0156,0,3076.24,0.4,7194.4,0,-1,1.69,0.690375263,1
2019/11/30,1,13000,7675.16,11.51,27,1.693775765,0.988195724,0.8801,0.0156,0,15350.32,2,7194.4,0,-1,1.69,0.693775765,1
2019/11/30,1,13000,7664.24,11.5,27,1.696189055,0.988346924,0.8821,0.0156,0,58248.224,7.6,7194.4,0,-1,1.69,0.696189055,1
2019/11/30,1,14000,7487.26,11.23,27,1.869842906,0.995456828,1.019,0.0156,0,7487.26,1,7194.4,0,-1,1.86,0.869842906,1
2019/11/30,1,14000,7486.83,7.49,27,1.869950299,0.993214642,0.9658,0.0156,0,217118.07,29,7194.4,0,-1,1.86,0.869950299,1
2019/11/30,1,14000,7664.82,7.66,27,1.826526911,0.991546779,0.9338,0.0156,0,15329.64,2,7194.4,0,-1,1.82,0.826526911,1
2019/11/30,1,14000,7664.82,7.66,27,1.826526911,0.991546779,0.9338,0.0156,0,99642.66,13,7194.4,0,-1,1.82,0.826526911,1
2019/11/30,1,15000,7505.4,7.51,27,1.998561036,0.996409371,1.0538,0.0156,0,2251.62,0.3,7194.4,0,-1,1.99,0.998561036,1
2019/11/30,1,15000,7747.61,11.62,27,1.936080933,0.996403616,1.0514,0.0156,0,1549.522,0.2,7194.4,0,-1,1.93,0.936080933,1
2019/11/30,1,20000,7491.87,11.24,27,2.66956047,0.999920722,1.4819,0.0156,0,2996.748,0.4,7194.4,0,-1,2.66,1.66956047,1
2019/11/30,1,32000,7516.66,3.76,27,4.257209984,0.999998467,1.8375,0.0156,0,3006.664,0.4,7194.4,0,-1,4.25,3.257209984,1
2019/11/30,1,40000,7515.07,3.76,27,5.322638379,0.999999934,2.0754,0.0156,0,1503.014,0.2,7194.4,0,-1,5.32,4.322638379,1
2020/3/28,1,4500,6267,1867.57,27,0.718046912,0.998150489,1.0943,3.00E-04,0,31335,5,7477.6,2977.6,0.594371295,0.71,-0.281953088,0
2020/3/28,1,4500,6256.76,1864.51,27,0.719222089,0.998787613,1.1454,3.00E-04,0,31283.8,5,7477.6,2977.6,0.596987949,0.71,-0.280777911,0
2020/3/28,1,4500,6256.76,1864.51,27,0.719222089,0.998787613,1.1454,3.00E-04,0,31283.8,5,7477.6,2977.6,0.596987949,0.71,-0.280777911,0
2020/3/28,1,4500,6267,1867.57,27,0.718046912,0.998150489,1.0943,3.00E-04,0,31335,5,7477.6,2977.6,0.594371295,0.71,-0.281953088,0
2020/3/28,1,5500,6241.77,1092.31,27,0.881160312,0.997332897,1.063,3.00E-04,0,3120.885,0.5,7477.6,1977.6,0.810475048,0.88,-0.118839688,0
2020/3/28,1,5500,6258.65,1098.39,27,0.878783763,0.997090247,1.0518,3.00E-04,0,3129.325,0.5,7477.6,1977.6,0.800453391,0.87,-0.121216237,0
2020/3/28,1,5500,6084.83,946.19,27,0.903887208,0.995585001,0.9998,3.00E-04,0,3042.415,0.5,7477.6,1977.6,1.090066477,0.9,-0.096112792,0
2020/3/28,1,5500,6241.77,1092.31,27,0.881160312,0.997332897,1.063,3.00E-04,0,3120.885,0.5,7477.6,1977.6,0.810475048,0.88,-0.118839688,0
2020/3/28,1,5500,6258.65,1098.39,27,0.878783763,0.997090247,1.0518,3.00E-04,0,3129.325,0.5,7477.6,1977.6,0.800453391,0.87,-0.121216237,0
2020/3/28,1,5500,6084.83,946.19,27,0.903887208,0.995585001,0.9998,3.00E-04,0,3042.415,0.5,7477.6,1977.6,1.090066477,0.9,-0.096112792,0
